
Minimum time:  760	(0.076 ms)

Test #		Time
603:		824	(0.0824 ms)
604:		823	(0.0823 ms)
605:		871	(0.0871 ms)
606:		824	(0.0824 ms)
607:		837	(0.0837 ms)
608:		871	(0.0871 ms)
609:		826	(0.0826 ms)
610:		824	(0.0824 ms)
611:		869	(0.0869 ms)
612:		832	(0.0832 ms)
613:		837	(0.0837 ms)
614:		868	(0.0868 ms)
615:		825	(0.0825 ms)
616:		826	(0.0826 ms)
617:		864	(0.0864 ms)
618:		833	(0.0833 ms)
619:		828	(0.0828 ms)
620:		847	(0.0847 ms)
621:		831	(0.0831 ms)
622:		826	(0.0826 ms)
623:		818	(0.0818 ms)
624:		860	(0.086 ms)
625:		825	(0.0825 ms)
626:		831	(0.0831 ms)
627:		875	(0.0875 ms)
628:		821	(0.0821 ms)
629:		819	(0.0819 ms)
630:		868	(0.0868 ms)
631:		815	(0.0815 ms)
632:		816	(0.0816 ms)
633:		858	(0.0858 ms)
634:		822	(0.0822 ms)
635:		820	(0.082 ms)
636:		857	(0.0857 ms)
637:		838	(0.0838 ms)
638:		827	(0.0827 ms)
639:		868	(0.0868 ms)
640:		823	(0.0823 ms)
641:		817	(0.0817 ms)
642:		869	(0.0869 ms)
643:		823	(0.0823 ms)
644:		815	(0.0815 ms)
645:		864	(0.0864 ms)
646:		825	(0.0825 ms)
647:		824	(0.0824 ms)
648:		856	(0.0856 ms)
649:		830	(0.083 ms)
650:		819	(0.0819 ms)
651:		860	(0.086 ms)
652:		819	(0.0819 ms)
653:		820	(0.082 ms)
654:		852	(0.0852 ms)
655:		820	(0.082 ms)
656:		820	(0.082 ms)
657:		821	(0.0821 ms)
658:		867	(0.0867 ms)
659:		822	(0.0822 ms)
660:		825	(0.0825 ms)
661:		871	(0.0871 ms)
662:		825	(0.0825 ms)
663:		820	(0.082 ms)
664:		864	(0.0864 ms)
665:		822	(0.0822 ms)
666:		823	(0.0823 ms)
667:		840	(0.084 ms)
668:		822	(0.0822 ms)
669:		824	(0.0824 ms)
670:		856	(0.0856 ms)
671:		824	(0.0824 ms)
672:		822	(0.0822 ms)
673:		866	(0.0866 ms)
674:		792	(0.0792 ms)
675:		782	(0.0782 ms)
676:		854	(0.0854 ms)
677:		823	(0.0823 ms)
678:		822	(0.0822 ms)
679:		856	(0.0856 ms)
680:		822	(0.0822 ms)
681:		815	(0.0815 ms)
682:		852	(0.0852 ms)
683:		824	(0.0824 ms)
684:		818	(0.0818 ms)
685:		819	(0.0819 ms)
686:		864	(0.0864 ms)
687:		822	(0.0822 ms)
688:		819	(0.0819 ms)
689:		857	(0.0857 ms)
690:		821	(0.0821 ms)
691:		819	(0.0819 ms)
692:		877	(0.0877 ms)
693:		824	(0.0824 ms)
694:		818	(0.0818 ms)
695:		864	(0.0864 ms)
696:		819	(0.0819 ms)
697:		815	(0.0815 ms)
698:		868	(0.0868 ms)
699:		821	(0.0821 ms)
700:		816	(0.0816 ms)
701:		861	(0.0861 ms)
702:		821	(0.0821 ms)
703:		819	(0.0819 ms)
704:		859	(0.0859 ms)
705:		825	(0.0825 ms)
706:		822	(0.0822 ms)
707:		860	(0.086 ms)
708:		821	(0.0821 ms)
709:		829	(0.0829 ms)
710:		869	(0.0869 ms)
711:		822	(0.0822 ms)
712:		820	(0.082 ms)
713:		816	(0.0816 ms)
714:		852	(0.0852 ms)
715:		816	(0.0816 ms)
716:		816	(0.0816 ms)
717:		857	(0.0857 ms)
718:		816	(0.0816 ms)
719:		823	(0.0823 ms)
720:		857	(0.0857 ms)
721:		831	(0.0831 ms)
722:		822	(0.0822 ms)
723:		864	(0.0864 ms)
724:		825	(0.0825 ms)
725:		818	(0.0818 ms)
726:		872	(0.0872 ms)
727:		818	(0.0818 ms)
728:		816	(0.0816 ms)
729:		864	(0.0864 ms)
730:		819	(0.0819 ms)
731:		821	(0.0821 ms)
732:		858	(0.0858 ms)
733:		834	(0.0834 ms)
734:		821	(0.0821 ms)
735:		858	(0.0858 ms)
736:		825	(0.0825 ms)
737:		823	(0.0823 ms)
738:		858	(0.0858 ms)
739:		825	(0.0825 ms)
740:		822	(0.0822 ms)
741:		869	(0.0869 ms)
742:		827	(0.0827 ms)
743:		822	(0.0822 ms)
744:		819	(0.0819 ms)
745:		876	(0.0876 ms)
746:		816	(0.0816 ms)
747:		819	(0.0819 ms)
748:		863	(0.0863 ms)
749:		824	(0.0824 ms)
750:		823	(0.0823 ms)
751:		857	(0.0857 ms)
752:		814	(0.0814 ms)
753:		821	(0.0821 ms)
754:		862	(0.0862 ms)
755:		826	(0.0826 ms)
756:		822	(0.0822 ms)
757:		885	(0.0885 ms)
758:		930	(0.093 ms)
759:		805	(0.0805 ms)
760:		879	(0.0879 ms)
761:		829	(0.0829 ms)
762:		824	(0.0824 ms)
763:		867	(0.0867 ms)
764:		824	(0.0824 ms)
765:		816	(0.0816 ms)
766:		855	(0.0855 ms)
767:		823	(0.0823 ms)
768:		820	(0.082 ms)
769:		873	(0.0873 ms)
770:		821	(0.0821 ms)
771:		819	(0.0819 ms)
772:		871	(0.0871 ms)
773:		819	(0.0819 ms)
774:		822	(0.0822 ms)
775:		850	(0.085 ms)
776:		784	(0.0784 ms)
777:		819	(0.0819 ms)
778:		820	(0.082 ms)
779:		882	(0.0882 ms)
780:		829	(0.0829 ms)
781:		836	(0.0836 ms)
782:		860	(0.086 ms)
783:		828	(0.0828 ms)
784:		828	(0.0828 ms)
785:		866	(0.0866 ms)
786:		824	(0.0824 ms)
787:		834	(0.0834 ms)
788:		875	(0.0875 ms)
789:		826	(0.0826 ms)
790:		820	(0.082 ms)
791:		860	(0.086 ms)
792:		821	(0.0821 ms)
793:		832	(0.0832 ms)
794:		842	(0.0842 ms)
795:		820	(0.082 ms)
796:		817	(0.0817 ms)
797:		978	(0.0978 ms)
798:		802	(0.0802 ms)
799:		803	(0.0803 ms)
800:		840	(0.084 ms)
801:		815	(0.0815 ms)
802:		813	(0.0813 ms)
803:		838	(0.0838 ms)
804:		808	(0.0808 ms)
805:		818	(0.0818 ms)
806:		832	(0.0832 ms)
807:		804	(0.0804 ms)
808:		805	(0.0805 ms)
809:		835	(0.0835 ms)
810:		809	(0.0809 ms)
811:		804	(0.0804 ms)
812:		780	(0.078 ms)
813:		843	(0.0843 ms)
814:		807	(0.0807 ms)
815:		803	(0.0803 ms)
